RunNumber,IdealDetector,DUT,Vbb,Ireset,Irrad
207224829230522091748,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B60.conf,AF10P_W22B60,0.0,1,2.00E+15
211120628230522120642,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B63.conf,AF10P_W22B63,0.0,2.5,5.00E+15
211120629230522131149,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B63.conf,AF10P_W22B63,1.2,2.5,5.00E+15
211120630230522134117,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B63.conf,AF10P_W22B63,0.0,2.5,5.00E+15
211120631230522140447,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B63.conf,AF10P_W22B63,1.2,2.5,5.00E+15
211120634230522182003,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B63.conf,AF10P_W22B63,4.8,2.5,5.00E+15
211120635230522192812,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B63.conf,AF10P_W22B63,4.8,2.5,5.00E+15
211120636230522201047,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B63.conf,AF10P_W22B63,0.0,1,5.00E+15
211120637230522205233,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B63.conf,AF10P_W22B63,1.2,1,5.00E+15
211120638230522213313,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B63.conf,AF10P_W22B63,0.0,1,5.00E+15
211120639230522221419,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B63.conf,AF10P_W22B63,1.2,1,5.00E+15
211120642230522225620,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B63.conf,AF10P_W22B63,4.8,1,5.00E+15
211120643230522233752,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B63.conf,AF10P_W22B63,4.8,1,5.00E+15
211120644230523004139,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B63.conf,AF10P_W22B63,0.0,1,5.00E+15
211120645230523014032,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B63.conf,AF10P_W22B63,1.2,1,5.00E+15
211120646230523021454,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B63.conf,AF10P_W22B63,0.0,1,5.00E+15
211120647230523023948,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B63.conf,AF10P_W22B63,1.2,1,5.00E+15
212092059230523092113,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B63.conf,AF10P_W22B63,1.2,1,5.00E+15
212092062230523094742,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B63.conf,AF10P_W22B63,4.8,1,5.00E+15
212092063230523101412,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B63.conf,AF10P_W22B63,4.8,1,5.00E+15
212130608230523130623,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B24.conf,AF10P_W22B24,0.0,1,None
212130609230523141229,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B24.conf,AF10P_W22B24,4.8,1,None
212130610230523145053,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B24.conf,AF10P_W22B24,1.2,1,None
212130611230523153328,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B24.conf,AF10P_W22B24,1.2,1,None
212130612230523164632,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B24.conf,AF10P_W22B24,1.2,1,None
212130613230523173340,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B24.conf,AF10P_W22B24,1.2,1,None
212130614230523181235,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B24.conf,AF10P_W22B24,1.2,1,None
212130615230523191912,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B24.conf,AF10P_W22B24,1.2,1,None
212212601230523212616,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B59-2.conf,AF10P_W22B59,0.0,2.5,1.00E+15
212212602230523220809,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B59-2.conf,AF10P_W22B59,1.2,2.5,1.00E+15
212212605230523225000,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B59-2.conf,AF10P_W22B59,4.8,2.5,1.00E+15
213004426230524004440,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF25P_W22B7-2.conf,AF25P_W22B7,1.2,1,None
213004427230524013416,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF25P_W22B7-2.conf,AF25P_W22B7,1.2,1,None
213004428230524021951,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF25P_W22B7-2.conf,AF25P_W22B7,1.2,1,None
213004429230524030113,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF25P_W22B7-2.conf,AF25P_W22B7,1.2,1,None
213004430230524034338,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF25P_W22B7-2.conf,AF25P_W22B7,1.2,1,None
213004431230524042336,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF25P_W22B7-2.conf,AF25P_W22B7,1.2,1,None
213004432230524050512,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF25P_W22B7-2.conf,AF25P_W22B7,1.2,1,None
213004433230524054613,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF25P_W22B7-2.conf,AF25P_W22B7,1.2,1,None
213004434230524062941,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF25P_W22B7-2.conf,AF25P_W22B7,1.2,1,None
213004435230524071306,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF25P_W22B7-2.conf,AF25P_W22B7,1.2,1,None
213004436230524075407,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF25P_W22B7-2.conf,AF25P_W22B7,1.2,1,None
213004437230524083553,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF25P_W22B7-2.conf,AF25P_W22B7,1.2,1,None
